# lo0 lores lofreq freq dec resbin ridx weight widx noise166 flux10 snr10 hours snravg noise50 psf_area psf_sym psf_mean noise50k speed speed_avg
SKA1W8-V2 0 0 1400 -10 10.0-60.0arcmin 8 natural 0 7.1 7.90 1.12 231.19 1.86 13 1.7e+06 0.02 727.6049 4.1e+02 0.44 6.2
SKA1W8-V2 0 0 1400 -30 0.4-2.0arcsec 1 natural 0 0.64 7.90 12.33 6.48 11.11 1.2 1.3 0.10 0.6381 37 53 1.3e+02
SKA1W8-12C0B120 0 0 650 -30 3.0-4.0arcsec 4 natural 0 3.6 13.52 3.74 63.84 3.54 6.6 35 0.01 3.3263 2.1e+02 23 14
SKA1W8-V2 0 0 800 -50 1.0-2.0arcsec 2 natural 0 1.6 11.69 7.09 15.47 7.19 3 5.2 0.01 1.2903 95 54 77
SKASUR1 0 0 1400 -50 3.0-10.0arcsec 5 natural 0 2.6 7.90 3.09 79.72 3.17 4.7 95 0.11 5.5068 1.5e+02 1.7e+02 1.8e+02
SKA1W8-C9B120 0 0 800 -10 0.4-1.0arcsec 0 natural 0 1.3 11.69 8.67 10.27 8.82 2.5 1.6 0.07 0.7117 78 81 74
SKA1V8 0 0 1400 -30 0.4-2.0arcsec 1 natural 0 0.78 7.90 10.18 9.18 9.34 1.4 1.8 0.08 0.7568 45 36 95
SKA1W8 0 0 1400 -50 1.0-2.0arcsec 2 natural 0 1.3 7.90 5.89 18.67 6.55 2.4 5.5 0.07 1.3238 77 12 64
SKA1W8-12C0B120 0 0 1000 -10 3.0-10.0arcsec 5 natural 0 1.6 10.00 6.36 14.33 7.47 2.9 74 0.05 4.8624 91 28 66
SKA1W8-V2 0 0 1000 -50 0.4-2.0arcsec 1 natural 0 1 10.00 9.54 6.31 11.26 1.9 1.8 0.09 0.7651 60 62 1.4e+02
SKA1V8-C9B120 0 0 1000 -10 1.0-2.0arcsec 2 natural 0 1.8 10.00 5.51 18.03 6.66 3.3 5.6 0.06 1.3383 1e+02 21 52
SKA1W8-V2 0 0 1000 -10 10.0-100.0arcsec 7 natural 0 1 10.00 9.54 6.14 11.41 1.9 2.7e+03 0.06 29.3548 60 62 1.5e+02
SKASUR 0 0 1000 -50 2.0-3.0arcsec 3 natural 0 5.3 10.00 1.88 281.03 1.69 9.7 18 0.10 2.3773 3.1e+02 64 52
SKA1W8-12C0B120 0 0 650 -50 0.4-2.0arcsec 1 natural 0 1 13.52 13.08 5.48 12.08 1.9 3.3 0.09 1.0233 60 2.8e+02 1.6e+02
SKA1W8 0 0 800 -50 2.0-3.0arcsec 3 natural 0 2.9 11.69 4.07 45.40 4.20 5.2 17 0.07 2.3405 1.7e+02 18 22
SKASUR1 0 0 800 -50 1.0-2.0arcsec 2 natural 0 8.6 11.69 1.36 290.66 1.66 16 7.8 0.35 1.6090 5e+02 33 54
SKA1V8 0 0 800 -30 1.0-2.0arcsec 2 natural 0 1.9 11.69 6.02 21.33 6.12 3.5 5.8 0.07 1.3559 1.1e+02 39 44
SKA1W8-12C0B120 0 0 650 -50 3.0-4.0arcsec 4 natural 0 3.6 13.52 3.78 63.73 3.54 6.5 35 0.08 3.3283 2.1e+02 23 14
SKA1W8-12C0B120 0 0 1000 -50 10.0-60.0arcsec 6 natural 0 1.2 10.00 8.06 8.53 9.68 2.3 1.5e+03 0.02 22.1512 71 45 1.1e+02
SKA1W8-V2 0 0 1400 -50 0.4-2.0arcsec 1 natural 0 0.64 7.90 12.36 6.31 11.26 1.2 1.3 0.08 0.6382 37 53 1.4e+02
SKA1V8-C9B120 0 0 1000 -50 3.0-4.0arcsec 4 natural 0 2.9 10.00 3.47 46.68 4.14 5.2 35 0.06 3.3484 1.7e+02 8.3 21
SKA1W8-C9B120 0 0 650 -50 3.0-10.0arcsec 5 natural 0 1.6 13.52 8.26 13.62 7.66 3 79 0.06 5.0282 94 1.1e+02 65
SKA1W8 0 0 650 -30 3.0-4.0arcsec 4 natural 0 3.4 13.52 3.98 65.79 3.49 6.2 35 0.06 3.3564 2e+02 26 15
SKASUR 0 0 650 -30 1.0-2.0arcsec 2 natural 0 6.4 13.52 2.11 177.35 2.12 12 6.5 0.29 1.4600 3.7e+02 80 83
SKA1W8-C9B120 0 0 1400 -10 10.0-60.0arcsec 6 natural 0 0.79 7.90 10.00 8.62 9.64 1.4 1.4e+03 0.01 21.4753 46 35 1.1e+02
SKA1V8 0 0 650 -30 0.4-2.0arcsec 1 natural 0 1.4 13.52 9.87 9.18 9.34 2.5 2.6 0.13 0.9107 79 1.6e+02 95
SKASUR1 0 0 1000 -30 10.0-60.0arcmin 8 natural 0 60 10.00 0.17 19257.87 0.20 1.1e+02 2.5e+06 0.16 903.8774 3.5e+03 0.5 0.86
SKA1W8-V2 0 0 1000 -50 3.0-10.0arcsec 5 natural 0 1.6 10.00 6.14 15.40 7.21 3 76 0.07 4.9193 94 26 60
SKA1V8-C9B120 0 0 800 -50 10.0-60.0arcmin 8 natural 0 6.5 11.69 1.80 262.00 1.75 12 2e+06 0.00 792.9163 3.7e+02 3.5 5.6
SKA1W8 0 0 1400 -30 1.0-2.0arcsec 2 natural 0 1.3 7.90 5.95 19.02 6.49 2.4 5.5 0.08 1.3295 76 12 62
SKA1W8-12C0B120 0 0 650 -30 2.0-3.0arcsec 3 natural 0 2.4 13.52 5.66 36.39 4.69 4.4 17 0.06 2.3214 1.4e+02 52 28
SKASUR 0 0 1400 -30 1.0-2.0arcsec 2 natural 0 4.1 7.90 1.92 177.35 2.12 7.5 5.5 0.18 1.3255 2.4e+02 66 83
SKA1W8 0 0 650 -50 3.0-10.0arcsec 5 natural 0 1.7 13.52 7.81 15.27 7.24 3.2 75 0.06 4.8958 1e+02 99 59
SKASUR1 0 0 1400 -10 2.0-3.0arcsec 3 natural 0 5.8 7.90 1.35 373.12 1.46 11 18 0.24 2.4206 3.4e+02 33 39
SKA1W8-V2 0 0 650 -10 0.4-2.0arcsec 1 natural 0 1.1 13.52 11.84 6.50 11.10 2.1 3.5 0.04 1.0627 66 2.3e+02 1.4e+02
SKA1W8-C9B120 0 0 1400 -30 10.0-60.0arcmin 8 natural 0 7.8 7.90 1.01 262.39 1.75 14 1.6e+06 0.02 714.5147 4.5e+02 0.36 5.6
SKA1V8 0 0 800 -30 10.0-60.0arcsec 6 natural 0 1.2 11.69 10.16 7.49 10.34 2.1 1.2e+03 0.01 19.5872 66 1.1e+02 1.3e+02
SKASUR 0 0 650 -10 10.0-100.0arcsec 7 natural 0 3.3 13.52 4.06 83.83 3.09 6.1 8.6e+02 0.06 16.5621 1.9e+02 3e+02 1.9e+02
SKA1W8-V2 0 0 1400 -30 3.0-10.0arcsec 5 natural 0 1.1 7.90 7.31 15.82 7.11 2 89 0.03 5.3101 62 19 60
