lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed,speed_avg
SKA1REF2,0,0,800,-30,1.0-2.0arcsec,2,natural,0,2,11.69,5.84,23.27,5.86,1.00,3.6,3.6,,5.5,0.08,1.3297,1.2e+02,37,49
SKASUR1,0,0,800,-50,10.0-60.0arcmin,5,natural,0,57,11.69,0.21,17715.91,0.21,6.22,1e+02,17,,2.9e+06,0.19,962.7522,3.3e+03,0.76,0.88
SKA1W9-0A72B120,0,0,650,-10,3.0-4.0arcsec,4,natural,0,3.4,13.52,4.01,73.47,3.30,1.08,6.1,5.7,,35,0.04,3.3469,1.9e+02,26,17
SKA1W9-12A72B120,0,0,650,-30,1.0-2.0arcsec,2,natural,0,1.5,13.52,9.17,15.45,7.20,0.74,2.7,3.6,,4.7,0.01,1.2238,85,1.4e+02,84
SKA1W9-0A72B120,0,0,650,-30,3.0-4.0arcsec,4,natural,0,3.4,13.52,3.99,72.89,3.31,1.06,6.2,5.8,,35,0.08,3.3389,2e+02,26,17
SKASUR,0,0,1000,-30,0.4-1.0arcsec,0,natural,0,5.5,10.00,1.82,504.05,1.26,3.22,10,3.1,,2.1,0.34,0.8443,3.2e+02,60,37
SKASUR,0,0,1000,-10,3.0-4.0arcsec,4,natural,0,5.7,10.00,1.77,356.24,1.50,1.78,10,5.8,,36,0.10,3.3841,3.3e+02,56,42
SKA1REF2,0,0,800,-30,2.0-3.0arcsec,3,natural,0,2.7,11.69,4.28,40.48,4.45,1.00,5,5,,17,0.06,2.3511,1.6e+02,20,29
SKA1W9-0A72B120,0,0,1000,-10,10.0-60.0arcmin,5,natural,0,12,10.00,0.84,442.55,1.34,1.07,22,20,,1.9e+06,0.02,787.4903,6.9e+02,0.48,3.2
SKA1W9-0A72B120,0,0,1000,-50,2.0-3.0arcsec,3,natural,0,2.9,10.00,3.40,48.45,4.06,1.08,5.4,5,,17,0.05,2.3382,1.7e+02,7.9,23
SKA1W9-0A72B120,0,0,800,-10,0.4-2.0arcsec,1,natural,0,1.1,11.69,10.83,6.59,11.02,0.83,2,2.4,,2.1,0.05,0.8176,62,1.3e+02,1.6e+02
SKA1W9-12A72B120,0,0,650,-10,1.0-2.0arcsec,2,natural,0,1.4,13.52,9.42,14.60,7.40,0.72,2.6,3.6,,4.7,0.03,1.2239,83,1.4e+02,89
