lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k,speed
SKA1REF2,0,0,800,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,2.9,12.50,4.29,10.99,8.53,1.00,5.3,5.3,,2.6,0.02,0.9072,1.7e+02,0.13
SKASUR,0,0,650,-10,3.0-4.0arcsec,3,natural,0,4.7,14.45,3.08,23.33,5.86,1.23,8.6,7,,35,0.10,3.3420,2.7e+02,0.77
SKASUR,0,0,650,-30,3.0-4.0arcsec,3,robust=-2.0:taper=0,1,5.3,14.45,2.75,22.65,5.94,1.31,9.6,7.3,,34,0.07,3.2925,3e+02,0.79
SKA1REF2,0,0,800,-30,0.4-1.0arcsec,0,natural,0,2.1,12.50,6.03,5.95,11.60,1.00,3.8,3.8,,1.1,0.09,0.5982,1.2e+02,0.24
SKASUR,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,26,12.50,0.48,856.74,0.97,2.68,47,18,,3.1e+06,0.29,1008.1217,1.5e+03,0.021
SKASUR,0,0,1100,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,1.9,10.00,5.25,12.49,8.00,0.96,3.5,3.6,,6.2,0.11,1.4017,1.1e+02,1.4
SKASUR,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,18,10.00,0.55,856.74,0.97,2.05,33,16,,2.8e+06,0.24,947.0092,1.1e+03,0.021
SKA1W9-0A72B120,0,0,650,-10,0.4-1.0arcsec,0,robust=-2.0:taper=1.0,2,2.3,14.45,6.37,7.26,10.50,0.77,4.1,5.4,,4.3,0.00,1.1636,1.3e+02,0.19
SKASUR,0,0,650,-10,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,4.4,14.45,3.30,25.81,5.57,1.06,8,7.5,,17,0.06,2.3131,2.5e+02,0.7
SKA1W9-0A72B120,0,0,650,-50,3.0-4.0arcsec,3,natural,0,4,14.45,3.58,25.73,5.58,1.03,7.4,7.1,,35,0.05,3.3509,2.3e+02,0.054
